Flagellin_ID	Phylum	Class	Order	Family	Genus	Species	Predicted_v1	Experimental	Predicted_v3
RGZ90314_1	Firmicutes	Clostridia	Clostridiales	Lachnospiraceae	Agathobacter	Agathobacter rectalis	silent	active	active
CCZ79617_1	Firmicutes	Clostridia	Clostridiales	Lachnospiraceae	Roseburia	Roseburia sp. CAG:18	silent	active	active
CUN01850_1	Firmicutes	Clostridia	Clostridiales	Lachnospiraceae	Roseburia	Roseburia faecis	non-silent	not_checked	active
RHA58738_1	Firmicutes	Clostridia	Clostridiales	Lachnospiraceae	Roseburia	Roseburia intestinalis	non-silent	not_checked	active
RHN06330_1	Firmicutes	Clostridia	Clostridiales	Lachnospiraceae	Roseburia	Roseburia intestinalis	silent	silent	silent
CUM97870_1	Firmicutes	Clostridia	Clostridiales	Lachnospiraceae	Roseburia	Roseburia faecis	non-silent	not_checked	active
RHC12840_1	Firmicutes	Clostridia	Clostridiales	Lachnospiraceae	Roseburia	Roseburia intestinalis	non-silent	not_checked	active
CRL36306_1	Firmicutes	Clostridia	Clostridiales	Lachnospiraceae	Roseburia	Roseburia faecis	non-silent	not_checked	active
WP_117830620_1	Firmicutes	Clostridia	Clostridiales	Lachnospiraceae	Roseburia	Roseburia sp. TF10-5	silent	active	active
OLA13988_1	Firmicutes	Clostridia	Clostridiales	Eubacteriaceae	Eubacterium	Eubacterium sp. CAG76_36_125	silent	not_checked	silent
RGI12718_1	Firmicutes	Clostridia	Clostridiales	Lachnospiraceae	Roseburia	Roseburia sp. TF10-5	non-silent	not_checked	active
EEU99488_1	Firmicutes	Clostridia	Clostridiales	Lachnospiraceae	Roseburia	Roseburia intestinalis	non-silent	not_checked	active
RGW39946_1	Firmicutes	Clostridia	Clostridiales	Lachnospiraceae	Agathobacter	Agathobacter rectalis	silent	not_checked	active
WP_055262733_1	Firmicutes	Clostridia	Clostridiales	Lachnospiraceae	Roseburia	Roseburia faecis	silent	not_checked	active
CUP37306_1	Firmicutes	Clostridia	Clostridiales	Lachnospiraceae	Lachnospira	Lachnospira pectinoschiza	silent	evader	silent
RHN03551_1	Firmicutes	Clostridia	Clostridiales	Lachnospiraceae	Roseburia	Roseburia intestinalis	non-silent	not_checked	active
WP_055193362_1	Firmicutes	Clostridia	Clostridiales	Lachnospiraceae	Roseburia	Roseburia intestinalis	silent	silent	silent
CRL32194_1	Firmicutes	Clostridia	Clostridiales	Lachnospiraceae	Roseburia	Roseburia faecis	non-silent	not_checked	active
CBK92329_1	Firmicutes	Clostridia	Clostridiales	Lachnospiraceae	Agathobacter	Agathobacter rectalis	silent	active	active
OLA62793_1	Firmicutes	Clostridia	Clostridiales	Lachnospiraceae	Roseburia	Roseburia sp. CAG:18_43_25	non-silent	active	active
CRL36647_1	Firmicutes	Clostridia	Clostridiales	Lachnospiraceae	Roseburia	Roseburia faecis	silent	active	active
RHI64475_1	Firmicutes	Clostridia	Clostridiales	Eubacteriaceae	Eubacterium	[Eubacterium] eligens	silent	not_checked	silent
RGZ16247_1	Firmicutes	Clostridia	Clostridiales	Lachnospiraceae	Agathobacter	Agathobacter rectalis	non-silent	not_checked	active
CDE36883_1	Firmicutes	Clostridia	Clostridiales	Eubacteriaceae	Eubacterium	Eubacterium sp. CAG:38	silent	silent	silent
WP_082424020_1	Firmicutes	Clostridia	Clostridiales	Lachnospiraceae	Roseburia	Roseburia faecis	non-silent	not_checked	active
WP_118591627_1	Firmicutes	Clostridia	Clostridiales	Lachnospiraceae	Roseburia	Roseburia intestinalis	silent	silent	silent
WP_055168195_1	Firmicutes	Clostridia	Clostridiales	Lachnospiraceae	Roseburia	Roseburia inulinivorans	non-silent	not_checked	active
CBL33805_1	Firmicutes	Clostridia	Clostridiales	Ruminococcaceae	Eubacterium	[Eubacterium] siraeum	non-silent	not_checked	active
RGI16717_1	Firmicutes	Clostridia	Clostridiales	Lachnospiraceae	Roseburia	Roseburia sp. TF10-5	non-silent	not_checked	active
RHG25510_1	Firmicutes	Clostridia	Clostridiales	Lachnospiraceae	Roseburia	Roseburia intestinalis	non-silent	not_checked	active
WP_118192981_1	Firmicutes	Clostridia	Clostridiales	Lachnospiraceae	Agathobacter	Agathobacter rectalis	non-silent	not_checked	active
WP_118209300_1	Firmicutes	Clostridia	Clostridiales	Lachnospiraceae	Roseburia	Roseburia sp. AM23-20	non-silent	not_checked	active
CBK89689_1	Firmicutes	Clostridia	Clostridiales	Lachnospiraceae	Agathobacter	Agathobacter rectalis	non-silent	not_checked	active
RHD00925_1	Firmicutes	Clostridia	Clostridiales	Lachnospiraceae	Roseburia	Roseburia inulinivorans	non-silent	not_checked	active
ABI48295_1	Firmicutes	Clostridia	Clostridiales	Lachnospiraceae	Roseburia	Roseburia intestinalis	non-silent	not_checked	active
WP_118444048_1	Firmicutes	Clostridia	Clostridiales	Clostridiaceae	Clostridium	Clostridium sp. AF37-5	non-silent	not_checked	silent
OLA54098_1	Firmicutes	Clostridia	Clostridiales	Lachnospiraceae	Roseburia	Roseburia intestinalis	silent	not_checked	silent
